2025-11-10 08:16:02,938 - __main__ - INFO - ================================================================================
2025-11-10 08:16:02,938 - __main__ - INFO - IHM SERVIDOR FINAL - NEOCOUDE-HD-15
2025-11-10 08:16:02,938 - __main__ - INFO - ================================================================================
2025-11-10 08:16:02,938 - __main__ - INFO - Porta serial: /dev/ttyUSB0
2025-11-10 08:16:02,938 - __main__ - INFO - WebSocket: localhost:8086
2025-11-10 08:16:02,938 - __main__ - INFO - Modo: LIVE (CLP real)
2025-11-10 08:16:02,938 - __main__ - INFO - ================================================================================
2025-11-10 08:16:02,938 - modbus_client - INFO - Modbus client initialized in LIVE MODE: /dev/ttyUSB0 @ 57600
2025-11-10 08:16:02,939 - modbus_client - INFO - Connected to PLC on /dev/ttyUSB0
2025-11-10 08:16:02,950 - modbus_client - ERROR - Error reading register 6536: ExceptionResponse(dev_id=1, function_code=131, exception_code=2)
2025-11-10 08:16:02,951 - __main__ - INFO - ✓ Conectado ao CLP via Modbus RTU
2025-11-10 08:16:02,951 - __main__ - INFO - Iniciando servidor WebSocket na porta 8086...
2025-11-10 08:16:02,970 - websockets.server - INFO - server listening on 127.0.0.1:8086
2025-11-10 08:16:02,970 - __main__ - INFO - ✓ Servidor WebSocket rodando em ws://localhost:8086
2025-11-10 08:16:02,970 - __main__ - INFO - Iniciando polling do CLP...
2025-11-10 08:16:03,706 - websockets.server - INFO - connection open
2025-11-10 08:16:03,706 - __main__ - INFO - Cliente conectado. Total de clientes: 1
2025-11-10 08:16:03,926 - websockets.server - INFO - connection open
2025-11-10 08:16:03,926 - __main__ - INFO - Cliente conectado. Total de clientes: 2
2025-11-10 08:16:04,294 - websockets.server - INFO - connection open
2025-11-10 08:16:04,295 - __main__ - INFO - Cliente conectado. Total de clientes: 3
2025-11-10 08:16:06,131 - websockets.server - INFO - connection open
2025-11-10 08:16:06,131 - __main__ - INFO - Cliente conectado. Total de clientes: 4
2025-11-10 08:30:09,753 - pymodbus.logging - ERROR - No response received after 3 retries, continue with next request
2025-11-10 08:30:09,753 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] No response received after 3 retries, continue with next request
2025-11-10 08:30:13,757 - pymodbus.logging - ERROR - Repeating....
2025-11-10 08:30:13,757 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] No response received after 3 retries, continue with next request
2025-11-10 08:30:17,760 - pymodbus.logging - ERROR - No response received after 3 retries, continue with next request
2025-11-10 08:30:17,760 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] No response received after 3 retries, continue with next request
2025-11-10 08:30:21,764 - pymodbus.logging - ERROR - No response received after 3 retries, continue with next request
2025-11-10 08:30:21,764 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] No response received after 3 retries, continue with next request
2025-11-10 08:30:25,768 - pymodbus.logging - ERROR - No response received after 3 retries, continue with next request
2025-11-10 08:30:25,768 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] No response received after 3 retries, continue with next request
2025-11-10 08:30:29,772 - pymodbus.logging - ERROR - No response received after 3 retries, continue with next request
2025-11-10 08:30:29,772 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] No response received after 3 retries, continue with next request
2025-11-10 08:30:34,028 - pymodbus.logging - ERROR - No response received after 3 retries, continue with next request
2025-11-10 08:30:34,028 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] No response received after 3 retries, continue with next request
2025-11-10 08:30:38,029 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:30:42,031 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:30:46,033 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:30:50,035 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:30:54,038 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:30:58,295 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:02,298 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:06,301 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:10,304 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:14,307 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:18,311 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:22,566 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:26,569 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:30,572 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:34,575 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:38,577 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:42,579 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:46,833 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:50,837 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:54,840 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:31:58,845 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:02,847 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:06,850 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:11,105 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
